[38.03965, -76.32213]
[38.04005, -76.32234]
[38.04019, -76.32239]
[38.04059, -76.32239]
[38.04098, -76.32227]
[38.04259, -76.32152]
[38.04337, -76.32121]
[38.04367, -76.32118]
[38.04391, -76.32122]
[38.04451, -76.32144]
[38.05244, -76.32475]
[38.05297, -76.32491]
[38.05344, -76.32498]
[38.05403, -76.32497]
[38.05594, -76.32469]
[38.05716, -76.32452]
[38.05756, -76.32452]
[38.05777, -76.32457]
[38.05802, -76.32468]
[38.05979, -76.32566]
[38.06141, -76.32642]
[38.06238, -76.32687]
[38.06257, -76.32701]
[38.0627, -76.32718]
[38.06278, -76.32735]
[38.06284, -76.3276]
[38.06287, -76.32799]
[38.06322, -76.33362]
[38.06328, -76.33402]
[38.0634, -76.33441]
[38.06359, -76.33478]
[38.0638, -76.33505]
[38.06412, -76.33532]
[38.06879, -76.33804]
[38.07012, -76.33882]
[38.07045, -76.33895]
[38.07389, -76.33995]
[38.07407, -76.34003]
[38.07383, -76.34159]
[38.07379, -76.34212]
[38.07382, -76.34249]
[38.07391, -76.34287]
[38.07417, -76.3436]
[38.07442, -76.34421]
[38.07472, -76.34481]
[38.07506, -76.34541]
[38.07648, -76.34782]
[38.07671, -76.3483]
[38.07687, -76.34872]
[38.07718, -76.34984]
[38.07841, -76.35439]
[38.07853, -76.35471]
[38.07868, -76.35496]
[38.08007, -76.35672]
[38.08032, -76.35701]
[38.08074, -76.35739]
[38.08109, -76.35764]
[38.08152, -76.35787]
[38.08202, -76.35804]
[38.08239, -76.35812]
[38.08275, -76.35815]
[38.0853, -76.35817]
[38.08557, -76.3582]
[38.08582, -76.35824]
[38.08612, -76.35832]
[38.08641, -76.35844]
[38.08669, -76.35859]
[38.08695, -76.35876]
[38.08724, -76.359]
[38.08756, -76.35934]
[38.08789, -76.35978]
[38.08925, -76.36163]
[38.09062, -76.3632]
[38.09227, -76.36509]
[38.09256, -76.3654]
[38.09297, -76.36573]
[38.0932, -76.36589]
[38.09349, -76.36606]
[38.09402, -76.36627]
[38.09446, -76.36638]
[38.09497, -76.36642]
[38.0955, -76.36639]
[38.09817, -76.36588]
[38.09895, -76.36567]
[38.0995, -76.36551]
[38.10022, -76.36536]
[38.10162, -76.36523]
[38.10264, -76.36517]
[38.10315, -76.3652]
[38.10352, -76.36525]
[38.10878, -76.36665]
[38.10925, -76.36681]
[38.10963, -76.36698]
[38.10999, -76.36719]
[38.11132, -76.36805]
[38.11166, -76.36831]
[38.1121, -76.36872]
[38.113, -76.36971]
[38.11357, -76.37033]
[38.11397, -76.37066]
[38.11444, -76.37094]
[38.11498, -76.37117]
[38.11735, -76.37199]
[38.12208, -76.36858]
[38.12293, -76.36803]
[38.12675, -76.36576]
[38.12775, -76.3652]
[38.12857, -76.36484]
[38.12952, -76.3645]
[38.13053, -76.36425]
[38.13126, -76.36414]
[38.13185, -76.36409]
[38.13412, -76.36407]
[38.13646, -76.36411]
[38.13746, -76.36417]
[38.13867, -76.3643]
[38.14294, -76.36486]
[38.1435, -76.36499]
[38.14407, -76.36518]
[38.14456, -76.36538]
[38.14709, -76.36662]
[38.15197, -76.36909]
[38.15253, -76.3694]
[38.15367, -76.3701]
[38.15466, -76.37074]
[38.1755, -76.38436]
[38.17651, -76.38499]
[38.17766, -76.3856]
[38.17926, -76.3863]
[38.1868, -76.38952]
[38.19886, -76.39463]
[38.20197, -76.39596]
[38.20334, -76.39663]
[38.20737, -76.39888]
[38.20826, -76.39945]
[38.20899, -76.4]
[38.20999, -76.40088]
[38.21225, -76.40294]
[38.21297, -76.40353]
[38.21373, -76.4041]
[38.21996, -76.4083]
[38.22092, -76.4089]
[38.22173, -76.40933]
[38.22271, -76.40976]
[38.22355, -76.41006]
[38.2326, -76.4127]
[38.23334, -76.41294]
[38.23394, -76.41317]
[38.23478, -76.41356]
[38.23565, -76.41402]
[38.23616, -76.41433]
[38.23844, -76.41591]
[38.23873, -76.41613]
[38.24511, -76.42057]
[38.24577, -76.42107]
[38.24626, -76.42154]
[38.24632, -76.42157]
[38.24685, -76.42221]
[38.24715, -76.42265]
[38.24752, -76.4233]
[38.24855, -76.42563]
[38.24854, -76.42572]
[38.24932, -76.42755]
[38.24952, -76.42794]
[38.24981, -76.42844]
[38.25023, -76.42902]
[38.25045, -76.42929]
[38.25079, -76.42965]
[38.25107, -76.42992]
[38.25158, -76.43032]
[38.25231, -76.4308]
[38.25382, -76.43171]
[38.25441, -76.43213]
[38.255, -76.43262]
[38.2556, -76.43322]
[38.25606, -76.43375]
[38.25654, -76.43438]
[38.25719, -76.43532]
[38.2577, -76.43612]
[38.25855, -76.43765]
[38.26291, -76.44577]
[38.26361, -76.44731]
[38.26449, -76.44924]
[38.26468, -76.44963]
[38.26477, -76.44969]
[38.26577, -76.45181]
